code,alpha_001,alpha_002,alpha_003,alpha_004,alpha_005,alpha_006,alpha_007,alpha_008,alpha_009,alpha_010,alpha_011,alpha_012,alpha_013,alpha_014,alpha_015,alpha_016,alpha_017,alpha_018,alpha_019,alpha_020,alpha_021,alpha_022,alpha_023,alpha_024,alpha_025,alpha_026,alpha_027,alpha_028,alpha_029,alpha_030,alpha_031,alpha_032,alpha_033,alpha_034,alpha_035,alpha_036,alpha_037,alpha_038,alpha_039,alpha_040,alpha_041,alpha_042,alpha_043,alpha_044,alpha_045,alpha_046,alpha_047,alpha_049,alpha_050,alpha_051,alpha_052,alpha_053,alpha_054,alpha_055,alpha_056,alpha_057,alpha_060,alpha_061,alpha_062,alpha_064,alpha_065,alpha_066,alpha_068,alpha_071,alpha_072,alpha_073,alpha_074,alpha_075,alpha_078,alpha_083,alpha_084,alpha_085,alpha_086,alpha_088,alpha_092,alpha_094,alpha_095,alpha_096,alpha_098,alpha_099,alpha_101
000001.XSHE,-0.02290076,-0.09168821,-0.3499966,-0.66666667,-0.40073364,0.14845421,-1.0,-0.63886764,0.01,0.46946565,0.30321112,-0.01,-0.41198931,0.0409822,-1.78059447,-0.28980527,-0.07026172,-0.64452081,-1.13053435,-0.00260935,-1.0,0.00352939,0.09,-1.11,0.48320611,-0.88939059,1.0,0.00056072,0.70019091,0.15488934,2.00234556,0.00764509,0.43912214,0.40740741,0.03222656,2.92814496,0.63553024,-0.31704737,-0.3162213,-0.05663396,0.00524569,1.45768566,0.05625,-0.95987611,,0.01,-0.50570739,0.01,-0.73307692,0.01,-0.01026412,2.5,-0.25,-0.59924016,-0.15097197,0.00577451,0.00045153,0.0,-1.0,-1.0,0.0,-1.34939604,-1.0,1.0,0.93411329,-0.8125,-1.0,0.0,0.43645601,0.03618594,0.9627684,0.25359478,-1.0,0.5,0.16666667,-0.31641221,1.0,-0.75,-0.38374323,0.0,0.0
000002.XSHE,-0.38358779,0.02125107,-0.18188934,-0.11111111,-0.03631854,-0.64830453,0.8,-0.96977812,-0.03,0.34255725,1.54652801,0.03,-0.1489118,-0.30001722,-0.5310103,-0.09278351,-0.02802066,-0.87514318,1.50877863,-1.496e-05,1.0,1.3082862,0.0,0.81,0.89389313,-0.86859904,1.0,-0.00062595,1.54616266,0.22022913,0.92114961,0.00837021,0.18664122,0.30278732,0.46655273,3.15632771,1.16257573,-0.02997174,-1.37848288,-0.54722944,0.01987986,0.34244792,0.04807692,0.58009988,,0.03,0.30339053,0.03,-0.36722072,0.03,0.73862595,-2.63636364,-0.47280158,-0.07183145,-0.05663306,-0.67226902,-0.00096194,1.0,-1.0,0.0,0.0,-1.07440247,0.0,0.75,0.00432511,-0.6875,0.0,1.0,0.9970131,-0.21176204,9.55586818,0.2147243,-1.0,,0.94444444,,1.0,-0.23076923,-0.29543812,-1.0,0.27900147
000009.XSHE,0.37996183,-0.77695178,0.25689795,-1.0,-0.54382058,0.54770684,-0.675,-0.8179036,-0.24,0.15209924,0.46342961,-0.24,-0.5257732,0.48224971,-2.35009589,-0.43337152,-0.74630753,-0.35967927,-1.75954198,-0.24492341,1.0,-0.10959942,-0.26,-3.6,0.03587786,-0.87287156,-1.0,-0.00034726,0.640168,0.05979879,-0.57995659,0.00798953,0.15343511,0.10576556,0.0,1.24558393,1.07030215,-0.79312343,-0.75101582,-0.15885516,0.01039758,0.43519246,0.2375,-0.963074,,-0.24,-0.27420899,-0.24,-0.71,-0.24,-0.25900763,0.49278997,-0.47482104,-0.70283167,-0.75766884,-0.01982365,-0.00052307,0.0,0.0,-1.0,-1.0,-1.26831149,-1.0,0.33333333,1.64105985,-0.7727097,-1.0,0.0,0.7383881,-0.36038078,0.97092996,0.73842718,-1.0,0.2870229,0.38888889,-0.67671756,1.0,-0.875,0.74386177,-1.0,0.3502627
000027.XSHE,0.15171756,-0.38235794,-0.25342662,-0.77777778,-0.41280141,-0.02476307,-1.0,-0.52677888,0.04,0.56946565,0.36910758,-0.04,-0.50057274,-0.00949298,-2.15407413,-0.55288278,-0.038319,-0.56433753,-1.20229008,-0.00218098,-1.0,0.02316237,0.0,-0.68,0.52366412,-0.95431352,-1.0,-0.00021781,0.5707522,0.17751256,1.95981521,0.00860533,0.43912214,0.28789614,0.06738281,2.09316389,1.40702432,-0.31704737,-0.20168336,-0.24562106,0.0083957,2.76582278,0.03125,-0.90780387,,0.04,-0.30166804,0.04,-0.93045843,0.04,-0.00600611,1.16666667,-0.28571429,-0.56485492,-0.01198298,0.01099544,-0.00024334,0.0,0.0,-1.0,0.0,-1.3536366,0.0,0.66666667,1.69651271,-0.9375,-1.0,1.0,0.7762235,0.03473135,1.16389204,0.87510965,-1.0,0.36450382,0.83333333,-0.65992135,1.0,-1.0,-0.05345335,0.0,0.0
000039.XSHE,-0.38358779,0.61190543,-0.23403459,-0.11111111,-0.14251267,-0.2068814,-1.0,-0.25975516,-0.07,0.27767176,0.03645337,0.07,-0.55059183,-0.19447958,-1.07370222,-0.66323024,-0.02539874,-0.67163039,1.06946565,-0.38322544,-1.0,0.24841404,0.0,-0.85,0.30992366,-0.04682929,1.0,-0.00061938,1.08888889,0.06878619,0.08633606,0.00861254,0.49160305,0.73730431,0.11962891,2.03451786,1.20308552,-0.12903946,-0.6787858,-0.12877748,-0.01867753,0.55921053,0.0375,-0.22138224,,1.0,-0.11010808,-0.07,-0.23692308,-0.07,0.00659542,0.23611111,-0.6972492,-0.0429606,-0.40717251,-0.01092634,-0.00098735,1.0,-1.0,-1.0,-1.0,-1.14417887,-1.0,1.0,1.29325752,-0.875,0.0,0.0,0.77299083,-0.02614129,3.18115135,0.57890025,-1.0,0.5,0.16666667,-0.44292573,1.0,-0.66666667,-0.57356227,0.0,-0.15267176
000046.XSHE,0.37996183,-0.63567181,-0.34141874,-0.77777778,-0.17653779,-0.43602137,-1.0,-0.76434583,-0.12,0.23206107,0.26904375,-0.12,-0.8388698,-0.04711495,-1.91657672,-0.86063383,-0.35829229,-0.82283314,-1.1610687,-0.04576129,1.0,0.11691321,-0.13,-1.26,0.18473282,-0.80687153,-1.0,0.000614,0.37907598,0.08748597,1.67446218,0.00670921,0.18358779,0.1580756,0.01062012,2.12949616,0.38261908,-0.76488695,-0.73293294,-0.41406888,-0.04855603,2.50807453,0.09375,-0.55104499,,1.0,-0.15704626,-0.12,-0.98371462,-0.12,-0.07358015,0.4375,-0.33600649,-0.59559414,-0.77112712,0.1212226,0.00011948,0.0,0.0,-1.0,0.0,-1.03945001,0.0,0.25,0.81645576,-0.87050638,0.0,1.0,0.9960487,0.76224264,0.91883967,0.97059073,0.0,0.11564885,0.05555556,-0.72748092,1.0,-0.75,0.07965122,0.0,0.26607539
000060.XSHE,0.15171756,-0.67909843,-0.20257589,-0.11111111,-0.09468621,-0.09855907,-1.0,-0.09257842,0.21,0.82328244,0.22669919,-0.21,-0.18327606,-0.03996553,-0.80823767,-0.11760214,-0.00564431,-0.18671249,1.61564885,-0.1401883,-1.0,-0.29132079,0.02,-2.56,0.95648855,-0.78194744,-1.0,-0.00031671,1.22703322,0.12616615,1.87438202,0.00727907,0.95916031,0.39900725,0.25177002,3.80597593,1.07159632,-0.00565614,-0.04074621,-0.24623293,0.02374519,2.14880333,0.1,0.80737391,,1.0,0.13485613,1.0,-0.95522964,1.0,-0.01012519,0.23333333,-0.16383682,-0.3232728,-0.03488419,0.20170909,0.00030547,1.0,0.0,0.0,-1.0,-0.47507068,-1.0,1.0,1.44300223,-0.8125,0.0,0.0,0.97792699,2.42646424,2.13796209,0.36115109,-1.0,0.20763359,0.16666667,-0.18053435,1.0,-1.0,-0.1829682,-1.0,-0.65693431
000061.XSHE,0.37996183,-0.69926531,-0.22518141,-0.11111111,-0.32826365,0.21654488,-1.0,-0.41009946,-0.04,0.33263359,0.65030939,-0.04,-0.37457045,0.14304034,-0.53562737,-0.20504009,-0.33873478,-0.3085147,-1.25305344,-0.04960641,-1.0,0.0311093,-0.02,-0.76,0.3129771,-0.63792708,1.0,0.00045965,0.87602138,0.04456314,1.84572776,0.00771443,0.32633588,0.28751432,0.06665039,2.9041848,0.79136649,-0.44224608,-0.41034268,-0.03128191,-0.00589584,0.66413662,0.30625,-0.512977,,1.0,-0.25074866,-0.04,-0.7943564,1.0,-0.04817099,-1.5952381,-0.53686488,-0.72262648,-0.27499068,-0.00773754,-0.00079215,0.0,-1.0,-1.0,0.0,-1.01927525,-1.0,0.53333333,0.1070566,-0.75,-1.0,1.0,0.74509928,-0.03213074,1.03112407,0.74099671,-1.0,0.86793893,0.16666667,-0.27977099,0.0,-0.76923077,-0.52663323,-1.0,0.18099548
000063.XSHE,0.37996183,-0.23428346,-0.51905076,-0.88888889,-0.26473749,-0.17736899,-1.0,-0.8324407,-0.14,0.21335878,1.01910175,-0.14,-0.76823215,-0.10429486,-1.80005154,-0.68919435,-0.59129089,-0.84116075,-1.44541985,-0.02820774,1.0,0.11893419,-0.18,-2.06,0.07862595,-1.0,-1.0,0.00062672,0.44914089,0.06142061,1.42863915,0.00803168,0.19656489,0.20007637,0.01812744,2.52527022,0.92544483,-0.75273454,-0.60810365,-0.33203972,-0.03191812,1.33509036,0.08125,-0.92204397,,-0.14,-0.44290366,-0.14,-0.90269231,-0.14,-0.07181679,0.14479638,-0.3759981,-0.88008728,-0.72342637,0.08217991,0.00050514,0.0,0.0,-1.0,-1.0,-1.88550501,-1.0,0.5,0.91703505,-0.86316196,-1.0,1.0,0.87526326,1.80922054,0.91004409,0.99012912,0.0,0.46832061,0.25,-0.78473282,1.0,-1.0,0.69109022,0.0,0.34802784
000069.XSHE,-0.38358779,-0.605819,0.02921668,-0.33333333,-0.29220019,0.14858463,-1.0,-0.49502678,-0.03,0.34828244,0.1436448,0.03,-0.72012218,0.10688562,-1.26896502,-0.78617793,-0.07800727,-0.67888507,-1.26145038,-0.00748318,-1.0,-0.00132258,0.13,-0.61,0.3221374,-0.90773071,-1.0,9.498e-05,0.83573883,0.14624205,2.01010749,0.00798668,0.29389313,0.22260405,0.00952148,2.80485599,1.12856783,-0.39908513,-0.74713339,-0.09131388,-0.00610165,2.62195122,0.04375,-0.88198966,,-0.03,-0.35560985,-0.03,-0.83038462,-0.03,-0.00805878,-4.5,-0.48924,-0.76710716,-0.19718315,0.00872247,-0.00060037,0.0,-1.0,0.0,-1.0,-0.91737343,-1.0,1.0,1.0425756,-1.0,-1.0,1.0,0.65590115,0.08066725,1.6218101,0.82286038,-1.0,0.42938931,0.66666667,-0.59386173,1.0,-0.375,0.22357623,0.0,0.37037037
